Date,Open,High,Low,Close,Adj Close,Volume
2020-02-03,1290.000000,1303.900024,1272.000000,1286.650024,1202.056152,5767353
2020-02-04,1296.000000,1307.300049,1287.550049,1291.750000,1206.820679,3604309
2020-02-05,1297.900024,1325.000000,1295.000000,1310.050049,1223.917480,4220104
2020-02-06,1322.900024,1325.000000,1309.050049,1317.599976,1230.971191,2354458
2020-02-07,1313.050049,1314.400024,1296.000000,1299.000000,1213.594116,3053804
2020-02-10,1300.000000,1302.449951,1273.099976,1285.300049,1200.795044,3039992
2020-02-11,1292.000000,1298.949951,1284.000000,1286.900024,1202.289795,2200796
2020-02-12,1289.099976,1299.849976,1280.000000,1297.300049,1212.005859,2568696
2020-02-13,1299.000000,1299.849976,1285.000000,1292.250000,1207.287964,1545536
2020-02-14,1295.000000,1304.949951,1290.599976,1295.150024,1209.997192,1780119
2020-02-17,1297.000000,1297.849976,1277.000000,1280.199951,1196.030029,2155085
2020-02-18,1281.500000,1289.800049,1266.449951,1286.349976,1201.775879,2347917
2020-02-19,1298.000000,1299.000000,1276.599976,1281.400024,1197.151245,1820353
2020-02-20,1279.900024,1288.900024,1275.300049,1280.599976,1196.403809,3034681
2020-02-24,1271.900024,1271.900024,1252.650024,1259.699951,1176.877930,3414064
2020-02-25,1262.199951,1265.650024,1240.150024,1242.050049,1160.388428,3133077
2020-02-26,1235.000000,1238.000000,1206.000000,1211.150024,1131.519897,5721483
2020-02-27,1212.349976,1216.949951,1200.000000,1210.349976,1130.772583,4003149
2020-02-28,1189.650024,1196.449951,1162.000000,1187.550049,1109.471558,6286647
2020-03-02,1205.000000,1212.349976,1150.550049,1160.900024,1084.573853,3177486
2020-03-03,1166.000000,1186.800049,1162.050049,1181.300049,1103.632568,3134527
2020-03-04,1185.000000,1187.849976,1158.000000,1176.650024,1099.288330,3135151
2020-03-05,1180.099976,1187.250000,1166.199951,1182.449951,1104.707031,2625152
2020-03-06,1148.000000,1164.000000,1130.849976,1158.900024,1082.705200,3956575
2020-03-09,1135.800049,1135.800049,1067.300049,1101.949951,1029.499634,8038295
2020-03-11,1090.000000,1120.949951,1085.800049,1116.949951,1043.513306,5628125
2020-03-12,1070.000000,1070.050049,1004.099976,1016.549988,949.714417,9200130
2020-03-13,950.000000,1060.449951,890.000000,1051.449951,982.319885,8117911
2020-03-16,1014.250000,1042.000000,961.900024,968.700012,905.010437,6671806
2020-03-17,972.000000,1005.000000,940.150024,956.750000,893.846252,4720207
2020-03-18,968.000000,974.750000,900.000000,904.549988,845.078186,5586097
2020-03-19,873.900024,884.000000,837.700012,843.099976,787.668335,7251950
2020-03-20,849.000000,877.799988,831.299988,864.700012,807.848267,6130185
2020-03-23,809.000000,809.950012,706.000000,724.049988,676.445557,7308612
2020-03-24,755.000000,755.750000,672.000000,707.900024,670.619507,7110384
2020-03-25,697.200012,775.000000,661.000000,765.750000,725.422913,16122446
2020-03-26,787.750000,842.299988,754.150024,838.000000,793.867920,9028497
2020-03-27,867.900024,890.000000,812.000000,837.049988,792.967957,6573448
2020-03-30,801.000000,815.000000,791.000000,798.650024,756.590393,4474168
2020-03-31,820.000000,823.000000,791.200012,808.500000,765.921509,8045468
2020-04-01,806.849976,812.400024,766.549988,774.349976,733.570007,4104403
2020-04-03,791.099976,791.099976,762.799988,774.650024,733.854187,4268480
2020-04-07,805.000000,813.000000,791.000000,801.650024,759.432312,5768998
2020-04-08,804.000000,832.000000,797.700012,807.099976,764.595215,6151091
2020-04-09,834.349976,834.349976,804.400024,812.799988,769.995056,6410296
2020-04-13,812.799988,872.400024,807.950012,865.450012,819.872375,9462711
2020-04-15,890.950012,926.599976,869.000000,880.150024,833.798157,10435477
2020-04-16,875.950012,919.799988,870.150024,911.650024,863.639282,6980512
2020-04-17,930.000000,940.000000,916.000000,932.900024,883.770142,5827648
2020-04-20,940.799988,943.000000,911.000000,915.599976,867.381165,4958362
2020-04-21,897.000000,906.599976,863.000000,870.349976,824.514221,5122305
2020-04-22,873.000000,885.500000,850.000000,852.599976,807.699097,6090168
2020-04-23,860.000000,869.500000,835.000000,840.599976,796.330994,6321888
2020-04-24,838.000000,869.000000,834.150024,851.200012,806.372803,7960368
2020-04-27,861.950012,874.900024,852.250000,855.250000,810.209412,4224177
2020-04-28,863.799988,867.700012,852.099976,857.150024,812.009460,3772704
2020-04-29,862.000000,883.049988,854.000000,875.349976,829.250977,4837925
2020-04-30,890.200012,916.799988,884.099976,897.549988,850.281799,6332497
2020-05-04,880.000000,880.000000,845.000000,850.650024,805.851746,4678576
2020-05-05,861.000000,869.799988,835.000000,836.900024,792.825867,4296433
2020-05-06,838.000000,848.000000,817.599976,837.299988,793.204834,5081524
2020-05-07,833.000000,836.049988,820.099976,822.849976,779.515747,3529134
2020-05-08,833.000000,834.849976,810.000000,815.950012,772.979187,4394509
2020-05-11,821.200012,827.500000,816.349976,821.599976,778.331604,2882920
2020-05-12,817.000000,819.250000,804.000000,814.799988,771.889709,3024381
2020-05-13,863.700012,871.950012,850.500000,862.900024,817.456604,8625444
2020-05-14,858.900024,879.599976,841.500000,871.650024,825.745911,6778584
2020-05-15,881.950012,885.000000,854.000000,864.400024,818.877563,5653901
2020-05-18,869.900024,870.000000,810.000000,813.349976,770.516113,6211249
2020-05-19,827.099976,833.799988,791.700012,796.349976,754.411377,5533176
2020-05-20,800.000000,841.000000,800.000000,835.000000,791.026001,5949898
2020-05-21,835.950012,845.000000,818.099976,820.500000,777.289551,4701930
2020-05-22,815.000000,826.500000,810.099976,815.700012,772.742310,4607479
2020-05-26,821.900024,842.700012,821.000000,825.549988,782.073669,4335209
2020-05-27,831.950012,857.200012,827.000000,850.849976,806.041260,5159287
2020-05-28,855.000000,912.000000,855.000000,905.500000,857.813110,11481079
2020-05-29,893.200012,937.500000,891.000000,932.250000,883.154358,10166556
2020-06-01,944.650024,974.150024,924.000000,928.150024,879.270325,7617144
2020-06-02,935.000000,953.000000,913.049988,945.450012,895.659180,7325471
2020-06-03,955.950012,972.849976,955.000000,961.299988,910.674500,4651554
2020-06-04,961.049988,968.000000,928.599976,930.700012,881.686035,5355931
2020-06-05,940.000000,959.900024,936.599976,955.250000,904.943176,6071040
2020-06-08,979.500000,995.000000,949.000000,961.349976,910.721924,9858804
2020-06-09,964.500000,970.250000,949.700012,953.299988,903.095825,5117749
2020-06-10,957.000000,959.500000,935.700012,946.549988,896.701355,5175923
2020-06-11,944.000000,952.000000,928.200012,930.450012,881.449219,3602957
2020-06-12,890.000000,929.900024,890.000000,926.400024,877.612549,5411314
2020-06-15,921.799988,929.450012,894.099976,899.900024,852.508118,4982324
2020-06-16,920.000000,924.700012,891.150024,895.049988,847.913513,4661460
2020-06-17,892.700012,899.750000,881.099976,884.799988,838.203369,4681085
2020-06-18,876.000000,900.000000,874.000000,896.650024,849.429260,5869802
2020-06-19,902.000000,915.900024,895.099976,898.200012,850.897583,5409996
2020-06-22,905.000000,916.000000,896.000000,907.450012,859.660522,6839642
2020-06-23,910.000000,970.000000,909.000000,967.599976,916.642761,14580218
2020-06-24,979.000000,989.900024,952.000000,955.549988,905.227356,11985132
2020-06-25,949.900024,964.799988,936.250000,943.099976,893.432922,7508087
2020-06-26,955.000000,976.099976,940.500000,962.200012,911.527161,6554103
2020-06-29,950.000000,956.099976,930.000000,936.599976,887.275269,4575801
2020-06-30,948.700012,952.150024,931.400024,943.650024,893.954102,3656480
2020-07-01,941.000000,941.000000,917.000000,924.299988,875.623047,6426017
2020-07-02,936.000000,950.700012,926.000000,941.299988,891.727722,6542705
2020-07-03,948.000000,955.400024,941.599976,944.250000,894.522461,3928063
2020-07-06,953.099976,959.500000,946.650024,951.200012,901.106384,3900219
2020-07-07,955.000000,961.900024,940.000000,943.599976,893.906677,4051767
2020-07-08,944.950012,964.400024,938.000000,941.250000,891.680420,5227021
2020-07-09,945.000000,952.000000,940.000000,944.950012,895.185608,3777760
2020-07-10,940.000000,952.000000,930.549988,932.150024,883.059692,4537688
2020-07-13,940.000000,944.799988,925.000000,928.150024,879.270325,3821300
2020-07-14,928.000000,934.950012,905.849976,912.900024,864.823425,3646237
2020-07-15,918.049988,925.000000,909.299988,912.200012,864.160339,3229770
2020-07-16,913.000000,924.000000,898.450012,921.150024,872.638977,3134451
2020-07-17,922.099976,929.950012,918.000000,925.549988,876.807251,2040517
2020-07-20,929.000000,931.900024,915.000000,919.599976,871.170593,3035845
2020-07-21,927.000000,942.299988,920.599976,938.049988,888.648865,4756570
2020-07-22,939.200012,941.000000,910.000000,920.900024,872.402161,4977432
2020-07-23,912.000000,937.950012,911.349976,916.549988,868.281189,9075059
2020-07-24,914.400024,914.500000,898.049988,904.400024,856.771118,6059379
2020-07-27,908.000000,915.000000,896.299988,903.799988,856.202698,3615970
2020-07-28,908.799988,917.000000,899.000000,913.500000,865.391785,3793721
2020-07-29,919.599976,940.849976,917.250000,921.950012,873.396912,7245021
2020-07-30,929.000000,932.700012,904.200012,908.250000,860.418335,3364408
2020-07-31,913.900024,922.900024,907.049988,913.450012,865.344482,2943858
2020-08-03,913.000000,919.750000,903.549988,915.900024,867.665466,3583167
2020-08-04,918.000000,930.000000,916.599976,924.250000,875.575745,3860346
2020-08-05,923.950012,934.500000,920.799988,925.750000,884.653931,3007723
2020-08-06,926.049988,933.700012,920.250000,922.150024,881.213745,2188023
2020-08-07,922.549988,926.849976,914.099976,915.650024,875.002380,2461109
2020-08-10,925.000000,970.000000,925.000000,960.049988,917.431335,11861641
2020-08-11,969.599976,979.700012,957.099976,961.900024,919.199280,5427516
2020-08-12,952.000000,956.000000,945.000000,949.750000,907.588623,3672458
2020-08-13,957.000000,993.650024,951.549988,990.700012,946.720703,8816193
2020-08-14,999.950012,1017.000000,973.400024,982.799988,939.171387,13443785
2020-08-17,1002.000000,1007.000000,987.700012,1000.799988,956.372375,4735094
2020-08-18,1005.950012,1008.000000,995.400024,1004.549988,959.955872,4362050
2020-08-19,1017.250000,1024.949951,1005.400024,1009.099976,964.303894,4914223
2020-08-20,986.000000,1005.000000,981.000000,995.750000,951.546570,4791040
2020-08-21,1010.000000,1010.000000,992.000000,994.150024,950.017639,2806380
2020-08-24,996.000000,1001.400024,990.000000,991.349976,947.341858,2026255
2020-08-25,993.000000,999.900024,977.799988,980.400024,936.877930,2914757
2020-08-26,987.000000,988.000000,965.000000,968.950012,925.936218,4482066
2020-08-27,975.250000,980.000000,965.299988,975.599976,932.291077,4466609
2020-08-28,988.000000,1004.700012,978.200012,981.849976,938.263550,7821191
2020-08-31,988.099976,995.400024,940.400024,944.950012,903.001709,8489726
2020-09-01,964.950012,966.000000,943.299988,955.200012,912.796631,5099949
2020-09-02,956.450012,959.799988,948.000000,955.549988,913.131104,2107714
2020-09-03,960.000000,971.000000,953.299988,961.150024,918.482544,3278899
2020-09-04,948.000000,956.150024,940.000000,942.500000,900.660461,3130721
2020-09-07,947.150024,950.750000,916.250000,932.150024,890.769897,3470806
2020-09-08,936.000000,936.000000,912.950012,916.700012,876.005737,3738931
2020-09-09,907.549988,928.000000,901.000000,909.500000,869.125366,5656245
2020-09-10,917.700012,923.000000,912.000000,920.950012,880.067078,2948599
2020-09-11,920.000000,921.549988,912.000000,917.400024,876.674622,2632298
2020-09-14,922.400024,923.349976,901.000000,902.099976,862.053833,5006356
2020-09-15,910.000000,915.200012,900.000000,909.950012,869.555420,4488829
2020-09-16,915.000000,924.000000,911.349976,921.799988,880.879333,3596197
2020-09-17,915.000000,917.950012,905.049988,906.299988,866.067383,4512652
2020-09-18,911.200012,914.099976,897.000000,900.700012,860.716064,7496145
2020-09-21,901.000000,903.799988,874.299988,881.849976,842.702759,4597697
2020-09-22,887.950012,887.950012,852.000000,856.500000,818.478149,5089087
2020-09-23,866.200012,873.700012,854.549988,860.599976,822.396118,3709291
2020-09-24,856.000000,859.900024,843.000000,850.700012,812.935608,11609426
2020-09-25,860.099976,895.400024,852.000000,889.250000,849.774353,4961967
2020-09-28,898.000000,917.500000,893.000000,902.849976,862.770569,3853608
2020-09-29,909.950012,912.849976,892.400024,895.450012,855.699036,3362381
2020-09-30,897.799988,904.500000,884.099976,901.599976,861.575989,3582787
2020-10-01,909.950012,913.599976,900.700012,902.799988,862.722778,2506154
2020-10-05,907.950012,908.549988,895.049988,896.950012,857.132507,2788003
