Date,Open,High,Low,Close,Adj Close,Volume
2020-02-03,2152.000000,2194.699951,2093.199951,2102.500000,1943.676025,4728073
2020-02-04,2129.000000,2136.699951,2086.600098,2107.750000,1948.529663,3509339
2020-02-05,2115.000000,2156.699951,2104.300049,2146.550049,1984.399048,2439322
2020-02-06,2145.000000,2174.199951,2115.500000,2128.350098,1967.573975,2640065
2020-02-07,2139.000000,2151.000000,2119.000000,2136.550049,1975.154419,2083442
2020-02-10,2140.899902,2167.000000,2119.000000,2161.949951,1998.636108,2383032
2020-02-11,2163.000000,2174.800049,2147.600098,2153.399902,1990.731689,1335820
2020-02-12,2151.100098,2185.000000,2150.000000,2170.750000,2006.770752,1620407
2020-02-13,2172.949951,2197.000000,2171.000000,2191.949951,2026.369751,1645948
2020-02-14,2188.000000,2212.000000,2171.000000,2184.199951,2019.205078,1500115
2020-02-17,2196.949951,2217.000000,2190.199951,2203.250000,2036.815186,1774724
2020-02-18,2199.949951,2221.000000,2186.050049,2215.750000,2048.371338,2486223
2020-02-19,2215.750000,2230.000000,2190.500000,2196.350098,2030.437134,1760463
2020-02-20,2204.500000,2214.399902,2151.250000,2156.800049,1993.874878,2317278
2020-02-24,2156.000000,2178.949951,2106.699951,2115.350098,1955.555542,3092877
2020-02-25,2115.500000,2176.649902,2111.000000,2156.149902,1993.273560,2674567
2020-02-26,2154.000000,2163.899902,2112.949951,2123.600098,1963.182373,2686842
2020-02-27,2119.949951,2119.949951,2086.199951,2105.500000,1946.449585,2349001
2020-02-28,2068.000000,2069.500000,1990.000000,2000.150024,1849.058105,4298076
2020-03-02,2035.000000,2053.949951,1985.699951,2001.300049,1850.121338,2667076
2020-03-03,2020.000000,2060.000000,2012.000000,2036.199951,1882.384521,2757585
2020-03-04,2056.000000,2094.449951,2025.000000,2083.199951,1925.834229,3237002
2020-03-05,2085.699951,2147.750000,2084.050049,2125.050049,1964.522827,3937056
2020-03-06,2098.000000,2123.649902,2071.600098,2116.449951,1956.572388,2595027
2020-03-09,2075.000000,2079.899902,1935.000000,1972.349976,1823.358032,4940975
2020-03-11,1933.000000,1987.300049,1920.000000,1953.699951,1806.116699,6796449
2020-03-12,1904.000000,1908.400024,1758.349976,1769.849976,1636.154663,8728786
2020-03-13,1687.900024,1820.000000,1506.050049,1806.300049,1669.851563,8029720
2020-03-16,1755.000000,1842.250000,1675.849976,1696.400024,1568.253418,7844271
2020-03-17,1730.000000,1731.000000,1623.150024,1658.000000,1532.753906,5713248
2020-03-18,1676.800049,1713.550049,1627.750000,1654.400024,1529.426270,7258778
2020-03-19,1559.699951,1685.449951,1546.750000,1636.349976,1523.792114,5135111
2020-03-20,1630.000000,1869.000000,1627.000000,1797.449951,1673.810791,8547498
2020-03-23,1620.000000,1750.000000,1617.750000,1669.699951,1554.848389,7003490
2020-03-24,1653.050049,1770.000000,1632.849976,1703.150024,1585.997314,6350865
2020-03-25,1700.000000,1810.000000,1680.000000,1750.300049,1629.904053,2765520
2020-03-26,1831.599976,1832.050049,1722.550049,1790.949951,1667.757935,4556067
2020-03-27,1820.000000,1850.000000,1750.400024,1824.500000,1699.000244,4331250
2020-03-30,1766.000000,1905.000000,1763.550049,1778.500000,1656.164185,8513547
2020-03-31,1837.400024,1855.000000,1780.000000,1826.099976,1700.490234,3927593
2020-04-01,1825.900024,1834.750000,1702.000000,1708.750000,1591.212158,4941878
2020-04-03,1740.000000,1740.000000,1650.000000,1654.199951,1540.414429,5735369
2020-04-07,1710.000000,1785.849976,1705.000000,1775.199951,1653.091431,5427577
2020-04-08,1760.000000,1806.000000,1701.000000,1705.449951,1588.138916,6285615
2020-04-09,1750.449951,1778.800049,1731.199951,1766.150024,1644.663696,5307397
2020-04-13,1761.000000,1787.000000,1746.000000,1759.250000,1638.238281,2990438
2020-04-15,1785.000000,1812.000000,1727.800049,1735.150024,1615.796143,4761399
2020-04-16,1709.949951,1764.900024,1675.050049,1716.050049,1598.010132,6245533
2020-04-17,1800.000000,1851.949951,1753.000000,1806.199951,1681.958862,9895823
2020-04-20,1830.000000,1830.000000,1802.500000,1818.650024,1693.552856,3244282
2020-04-21,1765.000000,1794.599976,1727.699951,1737.650024,1618.124146,5122541
2020-04-22,1737.650024,1790.000000,1719.150024,1769.500000,1647.783203,3829836
2020-04-23,1780.000000,1900.000000,1760.849976,1878.250000,1749.052612,5934366
2020-04-24,1840.699951,1851.949951,1807.800049,1818.550049,1693.459717,2987102
2020-04-27,1832.300049,1875.000000,1825.000000,1836.599976,1710.267822,3374741
2020-04-28,1865.000000,1868.000000,1832.599976,1859.050049,1731.173706,2678505
2020-04-29,1874.000000,1912.550049,1850.050049,1905.650024,1774.568237,4241510
2020-04-30,1980.000000,2032.000000,1942.199951,2014.449951,1875.884155,5915544
2020-05-04,1966.000000,1966.000000,1913.650024,1930.449951,1797.662109,3729348
2020-05-05,1955.099976,1977.000000,1927.000000,1932.750000,1799.803955,2905528
2020-05-06,1939.800049,1953.699951,1893.599976,1903.599976,1772.659302,3517431
2020-05-07,1910.000000,1934.449951,1883.349976,1891.650024,1761.531006,3166754
2020-05-08,1939.099976,1939.500000,1886.250000,1893.400024,1763.160889,2686530
2020-05-11,1909.000000,1951.400024,1909.000000,1935.300049,1802.178589,2449841
2020-05-12,1933.400024,1956.500000,1910.250000,1949.500000,1815.402100,3256595
2020-05-13,1994.000000,1994.000000,1925.650024,1949.650024,1815.541748,2656665
2020-05-14,1910.000000,1923.099976,1891.099976,1902.349976,1771.495117,2263146
2020-05-15,1916.000000,1917.400024,1865.199951,1892.900024,1762.695190,3173682
2020-05-18,1907.000000,1952.949951,1872.099976,1945.599976,1811.770142,3727694
2020-05-19,1903.000000,1966.449951,1903.000000,1948.650024,1814.610718,3198693
2020-05-20,1950.000000,1962.900024,1931.699951,1953.599976,1819.220093,2778505
2020-05-21,1946.000000,1998.000000,1941.150024,1991.199951,1854.233521,3400908
2020-05-22,1977.099976,2032.000000,1961.250000,2020.349976,1881.378540,3663418
2020-05-26,2015.000000,2024.000000,1925.000000,1943.000000,1809.348755,4575317
2020-05-27,1959.000000,2010.000000,1941.250000,2005.300049,1867.363647,3482160
2020-05-28,1988.500000,2014.000000,1971.300049,2004.300049,1866.432617,3475681
2020-05-29,1982.000000,2002.650024,1962.400024,1972.349976,1836.680176,7237735
2020-06-01,1990.000000,2060.000000,1981.099976,2045.250000,1904.565674,3747773
2020-06-02,2060.199951,2081.000000,2040.050049,2047.150024,1906.335205,2443886
2020-06-03,2051.850098,2063.750000,2020.000000,2046.150024,1911.004639,3699799
2020-06-04,2046.750000,2100.000000,2046.750000,2091.550049,1953.406128,4048593
2020-06-05,2091.600098,2098.000000,2040.300049,2048.250000,1912.965820,3573289
2020-06-08,2078.250000,2095.000000,2062.100098,2071.750000,1934.913940,2957841
2020-06-09,2063.100098,2095.500000,2060.250000,2072.050049,1935.193726,2909439
2020-06-10,2077.050049,2132.000000,2073.500000,2108.750000,1969.470093,5168397
2020-06-11,2100.000000,2105.000000,2061.800049,2067.649902,1931.084717,2269513
2020-06-12,2011.199951,2049.199951,2011.000000,2039.500000,1904.793945,2842642
2020-06-15,2039.099976,2059.000000,2000.949951,2029.900024,1895.828003,2399022
2020-06-16,2065.000000,2073.949951,2031.000000,2045.800049,1910.677734,2146528
2020-06-17,2046.000000,2058.850098,2026.550049,2047.800049,1912.545776,2703527
2020-06-18,2045.000000,2059.199951,2025.199951,2038.099976,1903.486206,1944389
2020-06-19,2042.000000,2090.000000,2032.000000,2044.599976,1909.557251,5681758
2020-06-22,2050.000000,2052.250000,2019.150024,2027.949951,1894.006958,3196138
2020-06-23,2027.000000,2044.000000,2010.000000,2035.300049,1900.871338,4205944
2020-06-24,2034.000000,2064.250000,2031.599976,2042.199951,1907.315430,2560937
2020-06-25,2035.000000,2060.000000,2009.250000,2016.099976,1882.939453,3043931
2020-06-26,2025.000000,2132.000000,2019.949951,2118.850098,1978.903198,6300722
2020-06-29,2108.000000,2127.600098,2091.300049,2101.649902,1962.838989,3076341
2020-06-30,2100.000000,2111.899902,2075.050049,2082.149902,1944.626587,3071725
2020-07-01,2079.699951,2113.949951,2079.500000,2092.050049,1953.872925,2503466
2020-07-02,2102.000000,2165.000000,2098.000000,2157.149902,2014.673462,3758699
